start_time,end_time,funding_rate,index_price,future_price
2020-11-14 00:00:00.000000,2020-11-14 01:00:00.000000,-0.0016,16313,16043
2020-11-13 23:00:00.000000,2020-11-14 00:00:00.000000,0.0001355856407743200196030384710,16324,16348
2020-11-13 22:00:00.000000,2020-11-13 23:00:00.000000,0.0001220534890869966185059944666,16265,16287
2020-11-13 21:00:00.000000,2020-11-13 22:00:00.000000,0.0001434678164459501077918078226,16235,16260
2020-11-13 20:00:00.000000,2020-11-13 21:00:00.000000,0.0001289541600098316332800786531,16274,16297
2020-11-13 19:00:00.000000,2020-11-13 20:00:00.000000,0.0001153244674301194434182982391,16242,16263
2020-11-13 18:00:00.000000,2020-11-13 19:00:00.000000,0.0001021066287761784147772904182,16187,16206
2020-11-13 17:00:00.000000,2020-11-13 18:00:00.000000,0.00009599204623128068104144659169,16093,16111
2020-11-13 16:00:00.000000,2020-11-13 17:00:00.000000,0.00009582532100986291173004156070,16121,16139
2020-11-13 15:00:00.000000,2020-11-13 16:00:00.000000,-0.0016,16209,15747
2020-11-13 14:00:00.000000,2020-11-13 15:00:00.000000,0.0001221511198621708097464927394,16252,16274
2020-11-13 13:00:00.000000,2020-11-13 14:00:00.000000,0.0001016669742264870517315617888,16257,16276
2020-11-13 12:00:00.000000,2020-11-13 13:00:00.000000,0.0001089795918367346938775510204,16170,16190
2020-11-13 11:00:00.000000,2020-11-13 12:00:00.000000,0.0001220309810671256454388984509,16268,16290
2020-11-13 10:00:00.000000,2020-11-13 11:00:00.000000,0.0001429834254143646408839779006,16290,16315
2020-11-13 09:00:00.000000,2020-11-13 10:00:00.000000,0.0001154808877928483353884093711,16220,16241
2020-11-13 08:00:00.000000,2020-11-13 09:00:00.000000,0.0001084030511811023622047244094,16256,16276
2020-11-13 07:00:00.000000,2020-11-13 08:00:00.000000,0.0001149352641590476774866539854,16297,16318
2020-11-13 06:00:00.000000,2020-11-13 07:00:00.000000,0.0001359103469450414491863678232,16285,16309
2020-11-13 05:00:00.000000,2020-11-13 06:00:00.000000,0.0001348997379167428536600231608,16407,16431
2020-11-13 04:00:00.000000,2020-11-13 05:00:00.000000,0.0001419378427787934186471663620,16410,16435
