start_time,end_time,funding_rate,index_price,future_price
2021-05-01 00:00:00.000000,2021-05-01 01:00:00.000000,0.000001721203279144087814367097402,57576,57578
2021-04-30 23:00:00.000000,2021-05-01 00:00:00.000000,0.00007336729156820528978277232229,57129,57169
2021-04-30 22:00:00.000000,2021-04-30 23:00:00.000000,0.00003687771275941448327973711494,56907,56930
2021-04-30 21:00:00.000000,2021-04-30 22:00:00.000000,0.00006238633765411470883092671087,56857,56892
2021-04-30 20:00:00.000000,2021-04-30 21:00:00.000000,0.00006004774610307541075691616346,56968,57002
2021-04-30 19:00:00.000000,2021-04-30 20:00:00.000000,0.00008080736918118252109128696479,56777,56820
2021-04-30 18:00:00.000000,2021-04-30 19:00:00.000000,0.00008572437289272537908877473565,56649,56694
2021-04-30 17:00:00.000000,2021-04-30 18:00:00.000000,0.00003090928225636708061460745106,57012,57032
2021-04-30 16:00:00.000000,2021-04-30 17:00:00.000000,0.00002728268164317756349122249302,56622,56640
2021-04-30 15:00:00.000000,2021-04-30 16:00:00.000000,0.00002753359711973763946814957402,56106,56124
2021-04-30 14:00:00.000000,2021-04-30 15:00:00.000000,0.000007108462195410026711245979685,55033,55039
2021-04-30 13:00:00.000000,2021-04-30 14:00:00.000000,0.000005710671530973289090142445964,54547,54552
2021-04-30 12:00:00.000000,2021-04-30 13:00:00.000000,0.000003030135573239021514883583849,54288,54291
2021-04-30 11:00:00.000000,2021-04-30 12:00:00.000000,0.000004330093876876159682545514669,54433,54437
2021-04-30 10:00:00.000000,2021-04-30 11:00:00.000000,0.000008687371813653677116905947846,54608,54615
2021-04-30 09:00:00.000000,2021-04-30 10:00:00.000000,-0.00004280673380871866500036756598,54412,54387
2021-04-30 08:00:00.000000,2021-04-30 09:00:00.000000,-0.000007190515577612351805900192997,54405,54399
2021-04-30 07:00:00.000000,2021-04-30 08:00:00.000000,-0.000007198719246269068693299965037,54343,54337
2021-04-30 06:00:00.000000,2021-04-30 07:00:00.000000,-0.00001035259784636412330765962949,54141,54133
2021-04-30 05:00:00.000000,2021-04-30 06:00:00.000000,-0.00004306474873349850238509041157,54086,54061
2021-04-30 04:00:00.000000,2021-04-30 05:00:00.000000,-0.00003283276196154419436577731406,53672,53652
2021-04-30 03:00:00.000000,2021-04-30 04:00:00.000000,-0.00001384109548095424909861943993,53529,53519
2021-04-30 02:00:00.000000,2021-04-30 03:00:00.000000,-0.00003095015167971237032320886858,53402,53383
2021-04-30 01:00:00.000000,2021-04-30 02:00:00.000000,-0.00003503020328776346056741037198,53471,53450
