start_time,end_time,funding_rate,index_price,future_price
2021-04-01 00:00:00.000000,2021-04-01 01:00:00.000000,0.0001937931738523837070813625072,58774,58863
2021-03-31 23:00:00.000000,2021-04-01 00:00:00.000000,0.0001910499812867884726616991596,58782,58870
2021-03-31 22:00:00.000000,2021-03-31 23:00:00.000000,0.0001904667412910009836844069061,58962,59050
2021-03-31 21:00:00.000000,2021-03-31 22:00:00.000000,0.0001909622676801169888962573756,58809,58897
2021-03-31 20:00:00.000000,2021-03-31 21:00:00.000000,0.0001921292782079179528701314036,59283,59372
2021-03-31 19:00:00.000000,2021-03-31 20:00:00.000000,0.0001919156177863148494498643617,59349,59438
2021-03-31 18:00:00.000000,2021-03-31 19:00:00.000000,0.0001900734547424006499221447431,59084,59172
2021-03-31 17:00:00.000000,2021-03-31 18:00:00.000000,0.0001923986486486486486486486486,59200,59289
2021-03-31 16:00:00.000000,2021-03-31 17:00:00.000000,0.0001900766718006871688979909619,59083,59171
2021-03-31 15:00:00.000000,2021-03-31 16:00:00.000000,0.0001945379084185895574646876975,58549,58638
2021-03-31 14:00:00.000000,2021-03-31 15:00:00.000000,0.0001868926302087793515679860243,58387,58473
2021-03-31 13:00:00.000000,2021-03-31 14:00:00.000000,0.0001879355183163115925804729346,58063,58149
2021-03-31 12:00:00.000000,2021-03-31 13:00:00.000000,0.0001910538940756208259271403179,57947,58034
2021-03-31 11:00:00.000000,2021-03-31 12:00:00.000000,0.0001945617712790838689558392959,57721,57809
2021-03-31 10:00:00.000000,2021-03-31 11:00:00.000000,-0.0001325405032747328507411237504,58020,57955
2021-03-31 09:00:00.000000,2021-03-31 10:00:00.000000,0.0001941178504139802603149361312,57853,57941
2021-03-31 08:00:00.000000,2021-03-31 09:00:00.000000,0.0001893715326374719660050924911,59303,59391
2021-03-31 07:00:00.000000,2021-03-31 08:00:00.000000,0.0001922817205753258153825376460,59236,59325
2021-03-31 06:00:00.000000,2021-03-31 07:00:00.000000,0.0001887091550616189680740450338,58667,58754
2021-03-31 05:00:00.000000,2021-03-31 06:00:00.000000,0.0001832274113577890988396858121,58691,58776
2021-03-31 04:00:00.000000,2021-03-31 05:00:00.000000,0.0001700046044441412711676529272,58639,58719
2021-03-31 03:00:00.000000,2021-03-31 04:00:00.000000,0.0001694497798779554996515442539,58831,58911
2021-03-31 02:00:00.000000,2021-03-31 03:00:00.000000,0.0001612306178536287449530078377,58946,59023
2021-03-31 01:00:00.000000,2021-03-31 02:00:00.000000,0.0001640130417062899062627360413,58888,58966
2021-03-31 00:00:00.000000,2021-03-31 01:00:00.000000,0.0001646056309223532619810484696,58676,58754
2021-03-30 23:00:00.000000,2021-03-31 00:00:00.000000,0.0001669172676554633283439923799,58792,58871
2021-03-30 22:00:00.000000,2021-03-30 23:00:00.000000,0.0001672045117650065597791824982,58691,58770
2021-03-30 21:00:00.000000,2021-03-30 22:00:00.000000,0.0001645579541001482289199734210,58693,58771
2021-03-30 20:00:00.000000,2021-03-30 21:00:00.000000,0.0001666536469389487985055616880,58885,58964
