start_time,end_time,funding_rate,index_price,future_price
2021-06-01 00:00:00.000000,2021-06-01 01:00:00.000000,0.00002574132022053345166846988686,2684.4,2685.9
2021-05-31 23:00:00.000000,2021-06-01 00:00:00.000000,0.000002073359218909036218623231008,2652.7,2652.9
2021-05-31 22:00:00.000000,2021-05-31 23:00:00.000000,0.00001205418643808357653170202814,2613.2,2614
2021-05-31 21:00:00.000000,2021-05-31 22:00:00.000000,0.000006696770243379764739834460075,2613.2,2613.7
2021-05-31 20:00:00.000000,2021-05-31 21:00:00.000000,-0.00003809780101491619519066186162,2601.2,2599.2
2021-05-31 19:00:00.000000,2021-05-31 20:00:00.000000,0.00001212611156022635493156517051,2597.7,2598.5
2021-05-31 18:00:00.000000,2021-05-31 19:00:00.000000,0.000005067178502879078694817658349,2605,2605.4
2021-05-31 17:00:00.000000,2021-05-31 18:00:00.000000,0.00002615343855266644047486521316,2642.1,2643.6
2021-05-31 16:00:00.000000,2021-05-31 17:00:00.000000,0.00002011770588914105614470492118,2599.7,2600.9
2021-05-31 15:00:00.000000,2021-05-31 16:00:00.000000,0.00001050967996839193994468589490,2531,2531.7
2021-05-31 14:00:00.000000,2021-05-31 15:00:00.000000,0.00005666679765787716049342965664,2544.7,2547.4
2021-05-31 13:00:00.000000,2021-05-31 14:00:00.000000,0.00001234955110361861537866870255,2550.7,2551.5
2021-05-31 12:00:00.000000,2021-05-31 13:00:00.000000,0.00002251041788370915764872109670,2567.7,2569
2021-05-31 11:00:00.000000,2021-05-31 12:00:00.000000,0.00001048399810815071807781339530,2537.2,2537.9
2021-05-31 10:00:00.000000,2021-05-31 11:00:00.000000,0.00003473250370133248095670553782,2499.1,2500.9
2021-05-31 09:00:00.000000,2021-05-31 10:00:00.000000,0.00001479949722256010919514541517,2466.3,2467.2
2021-05-31 08:00:00.000000,2021-05-31 09:00:00.000000,0.00003815821900928284049555154925,2434.6,2436.5
2021-05-31 07:00:00.000000,2021-05-31 08:00:00.000000,0.00003176959619952494184315742369,2357.6,2359.2
2021-05-31 06:00:00.000000,2021-05-31 07:00:00.000000,0.00003228030858078696467191573281,2320.3,2321.9
2021-05-31 05:00:00.000000,2021-05-31 06:00:00.000000,0.00004573488533703960903424097028,2302.4,2304.5
2021-05-31 04:00:00.000000,2021-05-31 05:00:00.000000,0.00005136688142086018167490044392,2297.2,2299.5
2021-05-31 03:00:00.000000,2021-05-31 04:00:00.000000,0.00004837451235370611183355006502,2307,2309.2
2021-05-31 02:00:00.000000,2021-05-31 03:00:00.000000,0.00008572656921754084264832330181,2326,2329.5
2021-05-31 01:00:00.000000,2021-05-31 02:00:00.000000,0.00003917186709394501752515624812,2371.6,2373.5
2021-05-31 00:00:00.000000,2021-05-31 01:00:00.000000,0.00003376655940490617950142058273,2392.9,2394.6
2021-05-30 23:00:00.000000,2021-05-31 00:00:00.000000,0.00003340775655337798852163142245,2418.6,2420.3
2021-05-30 22:00:00.000000,2021-05-30 23:00:00.000000,0.00003568198635205130446652049395,2432.6,2434.4
2021-05-30 21:00:00.000000,2021-05-30 22:00:00.000000,0.00004313099041533546165202722762,2441.4,2443.5
2021-05-30 20:00:00.000000,2021-05-30 21:00:00.000000,0.00004816916357104951984402980420,2449.7,2452
2021-05-30 19:00:00.000000,2021-05-30 20:00:00.000000,0.00003304433175200392851739282284,2445.2,2446.9
2021-05-30 18:00:00.000000,2021-05-30 19:00:00.000000,0.00005405963492194597963298292140,2421.4,2423.9
2021-05-30 17:00:00.000000,2021-05-30 18:00:00.000000,0.00004926314031645305015617541765,2395.3,2397.6
2021-05-30 16:00:00.000000,2021-05-30 17:00:00.000000,0.00004991328624000676982343679977,2364.1,2366.4
2021-05-30 15:00:00.000000,2021-05-30 16:00:00.000000,0.00004454691598273965305734968554,2363.8,2365.9
2021-05-30 14:00:00.000000,2021-05-30 15:00:00.000000,0.00006319095477386934673366834171,2388,2390.8
2021-05-30 13:00:00.000000,2021-05-30 14:00:00.000000,0.00005413564929693961952026468156,2418,2420.5
2021-05-30 12:00:00.000000,2021-05-30 13:00:00.000000,0.00001511700144957548146614205840,2414.5,2415.4
2021-05-30 11:00:00.000000,2021-05-30 12:00:00.000000,0.00006530476940289230022008521341,2413.3,2416.2
2021-05-30 10:00:00.000000,2021-05-30 11:00:00.000000,0.00007061879045224059564063286985,2425.7,2428.8
2021-05-30 09:00:00.000000,2021-05-30 10:00:00.000000,0.00009687628442252363337443485409,2433,2437
2021-05-30 08:00:00.000000,2021-05-30 09:00:00.000000,0.00009679273951788427941491042510,2435.1,2439.1
2021-05-30 07:00:00.000000,2021-05-30 08:00:00.000000,0.0001166444961755902937349331253,2405.6,2410.2
2021-05-30 06:00:00.000000,2021-05-30 07:00:00.000000,0.00007006260914008262431442685782,2347.9,2350.9
2021-05-30 05:00:00.000000,2021-05-30 06:00:00.000000,0.00007168380686770088328429121936,2294.8,2297.8
2021-05-30 04:00:00.000000,2021-05-30 05:00:00.000000,0.00005442534015837599418117500251,2285.7,2288.1
2021-05-30 03:00:00.000000,2021-05-30 04:00:00.000000,0.00004674598242031430535892849776,2252.6,2254.7
2021-05-30 02:00:00.000000,2021-05-30 03:00:00.000000,0.0001129854314194217718082022125,2217.1,2221.3
2021-05-30 01:00:00.000000,2021-05-30 02:00:00.000000,0.00004452131722000089669383610551,2225.9,2227.9
2021-05-30 00:00:00.000000,2021-05-30 01:00:00.000000,0.00002533309957924263775597474784,2281.6,2282.9
2021-05-29 23:00:00.000000,2021-05-30 00:00:00.000000,0.00003826654322620464358301650404,2268.3,2270.1
2021-05-29 22:00:00.000000,2021-05-29 23:00:00.000000,0.00002817527330903919879346385171,2250.2,2251.6
2021-05-29 21:00:00.000000,2021-05-29 22:00:00.000000,0.00002835547206941276328149060274,2235.9,2237.3
2021-05-29 20:00:00.000000,2021-05-29 21:00:00.000000,0.00001847493005284896005709916940,2251.7,2252.7
2021-05-29 19:00:00.000000,2021-05-29 20:00:00.000000,0.00006661957529468897887908484239,2265.1,2267.9
2021-05-29 18:00:00.000000,2021-05-29 19:00:00.000000,0.00002739134191652985504675885023,2314.6,2316
2021-05-29 17:00:00.000000,2021-05-29 18:00:00.000000,0.00001563503962304562004711929749,2334.5,2335.4
2021-05-29 16:00:00.000000,2021-05-29 17:00:00.000000,0.000003955288048151332760103181427,2326,2326.3
2021-05-29 15:00:00.000000,2021-05-29 16:00:00.000000,0.000003858089407028432588648489250,2384.6,2384.9
2021-05-29 14:00:00.000000,2021-05-29 15:00:00.000000,0.00001120943952802359882005899705,2373,2373.7
2021-05-29 13:00:00.000000,2021-05-29 14:00:00.000000,0.00001512138536747037751654487736,2413.8,2414.7
2021-05-29 12:00:00.000000,2021-05-29 13:00:00.000000,0.00003823359947320766855105307839,2429.8,2431.7
2021-05-29 11:00:00.000000,2021-05-29 12:00:00.000000,0.00002613032188929645767090719912,2426.3,2427.7
2021-05-29 10:00:00.000000,2021-05-29 11:00:00.000000,0.00001933303104002638123651884661,2425.9,2427
2021-05-29 09:00:00.000000,2021-05-29 10:00:00.000000,0.00002798477239591770820119894900,2469.2,2470.7
2021-05-29 08:00:00.000000,2021-05-29 09:00:00.000000,0.00002083582327397314923509305903,2510.1,2511.3
2021-05-29 07:00:00.000000,2021-05-29 08:00:00.000000,0.000002163055020254060798937120428,2542.7,2542.9
2021-05-29 06:00:00.000000,2021-05-29 07:00:00.000000,0.000006917269457290801759309857222,2529.9,2530.4
2021-05-29 05:00:00.000000,2021-05-29 06:00:00.000000,0.000006962126034373011073043314025,2513.6,2514.1
2021-05-29 04:00:00.000000,2021-05-29 05:00:00.000000,0.00001250595521676988952087501904,2518.8,2519.6
2021-05-29 03:00:00.000000,2021-05-29 04:00:00.000000,0.000003658633579893422545434974017,2514.6,2514.9
2021-05-29 02:00:00.000000,2021-05-29 03:00:00.000000,0.00001251141915240100181745795216,2517.7,2518.5
2021-05-29 01:00:00.000000,2021-05-29 02:00:00.000000,9.382776485946231915017704737E-7,2451.3,2451.4
2021-05-29 00:00:00.000000,2021-05-29 01:00:00.000000,0.00001727933541017653167185877466,2407.5,2408.5
2021-05-28 23:00:00.000000,2021-05-29 00:00:00.000000,0.00002196740591397849294529239831,2380.8,2382
2021-05-28 22:00:00.000000,2021-05-28 23:00:00.000000,0.00002909228696530818680189296543,2375.2,2376.7
2021-05-28 21:00:00.000000,2021-05-28 22:00:00.000000,0.00002552232196771466620556405163,2484.1,2485.5
2021-05-28 20:00:00.000000,2021-05-28 21:00:00.000000,0.00003451566724988070372261678925,2514.8,2516.6
2021-05-28 19:00:00.000000,2021-05-28 20:00:00.000000,0.000003673387901776801756837692154,2504.5,2504.8
2021-05-28 18:00:00.000000,2021-05-28 19:00:00.000000,0.00004726617264169837772882034849,2496.5,2498.8
2021-05-28 17:00:00.000000,2021-05-28 18:00:00.000000,0.00002514875049583498611662038873,2521,2522.4
2021-05-28 16:00:00.000000,2021-05-28 17:00:00.000000,0.00006696637998436278342455043002,2558,2561.1
2021-05-28 15:00:00.000000,2021-05-28 16:00:00.000000,0.00001037158342106289308167818228,2564.7,2565.4
2021-05-28 14:00:00.000000,2021-05-28 15:00:00.000000,0.00001807182490752157956506080493,2595.2,2596.3
2021-05-28 13:00:00.000000,2021-05-28 14:00:00.000000,-0.00002731981180563792157140520376,2529.3,2527.8
2021-05-28 12:00:00.000000,2021-05-28 13:00:00.000000,0.000002220248667850799452551622802,2477.2,2477.4
2021-05-28 11:00:00.000000,2021-05-28 12:00:00.000000,0.00002539758843087769714385513635,2496.3,2497.7
2021-05-28 10:00:00.000000,2021-05-28 11:00:00.000000,0.00003999677119909593868320228386,2477.7,2479.7
2021-05-28 09:00:00.000000,2021-05-28 10:00:00.000000,0.00002930703916735141265833993406,2555.7,2557.3
2021-05-28 08:00:00.000000,2021-05-28 09:00:00.000000,0.00001832532333059820914572074572,2559.3,2560.4
2021-05-28 07:00:00.000000,2021-05-28 08:00:00.000000,0.00004870028186658314890805479437,2554.4,2556.8
2021-05-28 06:00:00.000000,2021-05-28 07:00:00.000000,0.00005461293743372216142742852431,2640.4,2643.1
2021-05-28 05:00:00.000000,2021-05-28 06:00:00.000000,0.00001748695003728560775540641312,2682,2683.1
2021-05-28 04:00:00.000000,2021-05-28 05:00:00.000000,0.000004859730505853766616589289973,2716.2,2716.6
2021-05-28 03:00:00.000000,2021-05-28 04:00:00.000000,0.00001341369299180478527800090799,2721.1,2722
2021-05-28 02:00:00.000000,2021-05-28 03:00:00.000000,-8.519149566634564949394666682E-7,2699.8,2699.7
2021-05-28 01:00:00.000000,2021-05-28 02:00:00.000000,0.00001523140011716461730029860187,2731.2,2732.2
2021-05-28 00:00:00.000000,2021-05-28 01:00:00.000000,0.00005989223039394160250752443824,2746.6,2749.6
2021-05-27 23:00:00.000000,2021-05-28 00:00:00.000000,0.00001692224427205484394732094534,2771.5,2772.6
2021-05-27 22:00:00.000000,2021-05-27 23:00:00.000000,0.00001514103730664240218380345769,2747.5,2748.5
2021-05-27 21:00:00.000000,2021-05-27 22:00:00.000000,0.000009685759021228561423795906313,2746.3,2747
2021-05-27 20:00:00.000000,2021-05-27 21:00:00.000000,0.00002295687438896332120644209190,2761.7,2763.1
2021-05-27 19:00:00.000000,2021-05-27 20:00:00.000000,0.00002688731737085831384957983226,2785.7,2787.3
2021-05-27 18:00:00.000000,2021-05-27 19:00:00.000000,0.00003784774638775070335866039923,2782.2,2784.3
2021-05-27 17:00:00.000000,2021-05-27 18:00:00.000000,0.00003120954983460377019882929809,2781.2,2783
2021-05-27 16:00:00.000000,2021-05-27 17:00:00.000000,0.00002867790594498669032830523514,2817.5,2819.2
2021-05-27 15:00:00.000000,2021-05-27 16:00:00.000000,0.00002627977965685414630719344450,2850.1,2851.7
2021-05-27 14:00:00.000000,2021-05-27 15:00:00.000000,0.00002238463439607386079449871946,2832.3,2833.7
